1;Makau;545 674;28,2;19 350
2;Monako;32 130;1,95;16 477
3;Hongkong;7 394 170;1 092;6 771
4;Singapur;4 608 595;693;6 650
5;Gibraltar;27 776;6;4 629
6;Strefa Gazy;1 274 868;360;3 541
7;Watykan;911;0,44;2 070
8;Malta;400 420;316;1 267
9;Bermudy;64 482;53;1 217
10;Malediwy;329 684;300;1 099
11;Bahrajn;667 238;620;1 076
12;Sint Maarten;35 000;34;974
13;Bangladesz;138 448 210;144 000;961
14;Guernsey;64 818;78;831
15;Jersey;90 156;116;777
16;Mauritius;1 210 447;1 860;651
17;Saint-Martin;34 500;53,2;648
18;Barbados;277 264;430;645
19;Tajwan;22 603 001;35 980;628
20;Nauru;12 570;21;599
21;Korea Po³udniowa;48 289 037;98 480;490
22;Majotta;178 437;374;477
23;San Marino;28 119;61;461
24;Tuvalu;11 305;26;435
25;Portoryko;3 885 877;9 104;427
26;Holandia;16 418 246;41 526;395
27;Curaçao;138 000;444;391
28;Martynika;425 966;1 100;387
29;Zachodni Brzeg;2 237 194;5 860;382
30;Aruba;70 844;193;367
31;Liban;3 727 703;10 400;358
32;Indie;1 166 079 217;3 287 590;355
33;Wyspy Dziewicze Stanów Zjednoczonych;124 778;352;354
34;Samoa Amerykañskie;70 260;199;353
35;Japonia;127 214 499;377 835;337
36;Belgia;10 289 088;32 545;316
37;Wyspy Marshalla;56 429;181;312
38;Salwador;6 470 379;21 040;308
39;Saint Vincent i Grenadyny;116 812;389;300
40;Reunion;755 171;2 517;300
41;Guam;163 941;549;299
42;Rwanda;7 810 056;26 338;297
43;Sri Lanka;19 409 000;65 610;296
44;Izrael;6 116 533;20 770;294
45;Komory;632 948;2 170;292
46;Filipiny;84 619 974;300 000;282
47;Haiti;7 527 817;27 750;271
48;Grenada;89 258;340;263
49;Saint Lucia;162 157;620;262
50;Gwadelupa;405 000;1 628;249
51;Wietnam;81 624 716;329 560;248
52;Wielka Brytania;60 094 648;244 820;245
53;Jamajka;2 695 867;10 990;245
54;Saint-Barthélemy;6 100;25;244
55;Niemcy;82 398 326;357 114;231
56;Burundi;6 096 156;27 830;219
57;Trynidad i Tobago;1 104 209;5 128;215
58;Liechtenstein;33 145;160;207
59;W³ochy;59 619 290;301 230;198
60;Nepal;26 469 569;140 800;188
61;Pakistan;150 694 740;803 940;187
62;Korea Pó³nocna;22 466 481;120 540;186
63;Dominikana;8 715 602;48 730;179
64;Szwajcaria;7 318 638;41 290;177
65;Seszele;80 469;455;177
66;Wyspy Œwiêtego Tomasza i Ksi¹¿êca;175 883;1 001;176
67;Luksemburg;454 157;2 586;176
68;Mariany Pó³nocne;80 006;477;168
69;Kajmany;41 934;262;160
70;Mikronezja;108 143;702;154
71;Antigua i Barbuda;67 897;442;154
72;Saint Kitts i Nevis;38 763;261;149
73;Andora;69 150;468;148
74;Sint Eustatius;3100;21;148
75;Nigeria;133 881 703;923 768;145
76;Tonga;108 141;748;145
77;Brytyjskie Wyspy Dziewicze;21 730;153;142
78;Tokelau;1 418;10;142
79;Kiribati;98 549;717;137
80;Chiny;1 286 975 468;9 596 960;134
81;Gambia;1 501 050;11 300;133
82;Mo³dawia;4 439 502;33 843;131
83;Czechy;10 249 216;78 866;130
84;Wyspa Man;74 261;572;130
85;Gwatemala;13 909 384;108 890;128
86;Tajlandia;64 265 276;514 000;125
87;Dania;5 384 384;43 094;125
88;Anguilla;12 738;102;125
89;Albania;3 582 205;28 748;125
90;Polska;38 557 984;312 685;124
91;Indonezja;234 893 453;1 904 556;123
92;Kuwejt;2 183 161;17 820;123
93;Serbia;10 147 398;88 361;115
94;Kuba;11 263 429;100 860;112
